12th June 2014,21:00:00,Brazil,Croatia
13th June 2014,17:00:00,Mexico,Cameroon
13th June 2014,20:00:00,Spain,Netherlands
13th June 2014,23:00:00,Chile,Australia
14th June 2014,17:00:00,Colombia,Greece
14th June 2014,20:00:00,Uruguay,Costa Rica
14th June 2014,23:00:00,England,Italy
15th June 2014,02:00:00,Ivory Coast,Japan
15th June 2014,17:00:00,Switzerland,Ecuador
15th June 2014,20:00:00,France,Honduras
15th June 2014,23:00:00,Argentina,Bosnia & Herzegovina
16th June 2014,17:00:00,Germany,Portugal
16th June 2014,20:00:00,Iran,Nigeria
16th June 2014,23:00:00,Ghana,USA
17th June 2014,17:00:00,Belgium,Algeria
17th June 2014,20:00:00,Brazil,Mexico
17th June 2014,23:00:00,Russia,South Korea
18th June 2014,17:00:00,Australia,Netherlands
18th June 2014,20:00:00,Spain,Chile
18th June 2014,23:00:00,Cameroon,Croatia
19th June 2014,17:00:00,Colombia,Ivory Coast
19th June 2014,20:00:00,Uruguay,England
19th June 2014,23:00:00,Japan,Greece
20th June 2014,17:00:00,Italy,Costa Rica
20th June 2014,20:00:00,Switzerland,France
20th June 2014,23:00:00,Honduras,Ecuador
21st June 2014,17:00:00,Argentina,Iran
21st June 2014,20:00:00,Germany,Ghana
21st June 2014,23:00:00,Nigeria,Bosnia & Herzegovina
22nd June 2014,17:00:00,Belgium,Russia
22nd June 2014,20:00:00,South Korea,Algeria
22nd June 2014,23:00:00,USA,Portugal
23rd June 2014,17:00:00,Australia,Spain
23rd June 2014,17:00:00,Netherlands,Chile
23rd June 2014,21:00:00,Cameroon,Brazil
23rd June 2014,21:00:00,Croatia,Mexico
24th June 2014,17:00:00,Costa Rica,England
24th June 2014,17:00:00,Italy,Uruguay
24th June 2014,21:00:00,Greece,Ivory Coast
24th June 2014,21:00:00,Japan,Colombia
25th June 2014,17:00:00,Bosnia & Herzegovina,Iran
25th June 2014,17:00:00,Nigeria,Argentina
25th June 2014,21:00:00,Ecuador,France
25th June 2014,21:00:00,Honduras,Switzerland
26th June 2014,17:00:00,Portugal,Ghana
26th June 2014,17:00:00,USA,Germany
26th June 2014,21:00:00,Algeria,Russia
26th June 2014,21:00:00,South Korea,Belgium
